TIME(MS),COMMAND,VALUE
 003540 ,2      ,1
 003640 ,2      ,0
 006110 ,2      ,1
 006210 ,2      ,0
 009038 ,2      ,1
 009138 ,2      ,0
 011899 ,2      ,1
 011999 ,2      ,0
 017540 ,2      ,1
 017640 ,2      ,0
 004120 ,2      ,1
 004995 ,2      ,0
 004995 ,2      ,1
 005496 ,2      ,0
 005496 ,2      ,1
 009000 ,END    ,1
